CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,225,4,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,226,5,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,231,6,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,245,7,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,239,8,2024
000256,VERBANIA,88382.0,Tac del rachide cervicale e dello speco vertebrale, senza e con contrasto,234,9,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,206,1,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,217,2,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,233,3,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,225,4,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,227,5,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,231,6,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,245,7,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,239,8,2024
000256,VERBANIA,88382.1,Tac del rachide dorsale e dello speco vertebrale, senza e con contrasto,234,9,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,206,1,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,217,2,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,233,3,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,225,4,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,227,5,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,231,6,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,245,7,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,239,8,2024
000256,VERBANIA,88382.2,Tac del lombo - sacrale e dello speco vertebrale, senza e con contrasto,234,9,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,518,1,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,491,2,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,462,3,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,428,4,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,407,5,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,414,6,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,393,7,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,407,8,2024
000256,VERBANIA,88714.0,Ecografia del collo per linfonodi,393,9,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,518,1,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,491,2,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,462,3,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,428,4,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,407,5,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,414,6,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,393,7,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,407,8,2024
000256,VERBANIA,88714.1,Ecografia ghiandole salivari,393,9,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,198,1,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,491,2,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,462,3,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,428,4,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,407,5,2024
000256,VERBANIA,88714.2,Ecografia tiroide - paratiroidi,414,6,2024
