"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160106","2023","09-13 GENNAIO 2023",44,"Ecografia dell’addome inferiore","88.75.1",29,26,3,2,,,23,22
"160106","2023","09-13 GENNAIO 2023",45,"Ecografia dell’addome completo","88.76.1",131,120,62,33,23,3,35,25
"160106","2023","09-13 GENNAIO 2023",46,"Ecografia bilaterale della mammella","88.73.1",177,152,19,10,28,12,105,34
"160106","2023","09-13 GENNAIO 2023",47,"Ecografia monolaterale della mammella","88.73.2",2,2,2,,,,,
"160106","2023","09-13 GENNAIO 2023",48,"Ecografia ostetrica","88.78",50,50,4,4,1,1,45,45
"160106","2023","09-13 GENNAIO 2023",49,"Ecografia ginecologica","88.78.2",20,18,3,,5,1,10,7
"160106","2023","09-13 GENNAIO 2023",50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso","88.77.2",137,130,20,14,69,48,41,31
"160106","2023","09-13 GENNAIO 2023",51,"Colonscopia totale con endoscopio flessibile","45.23",66,65,24,8,11,3,30,8
"160106","2023","09-13 GENNAIO 2023",52,"Polipectomia dell’intestino crasso in corso di endoscopia sede unica","45.42",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",53,"Rettosigmoidoscopia con endoscopio flessibile","45.24",1,1,,,,,1,1
"160106","2023","09-13 GENNAIO 2023",54,"Esofagogastroduodenoscopia","45.13",61,59,13,2,22,8,24,11
