REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,14,Prima Visita pneumologica,89.7,991,339,197,79,141,54,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,15,Mammografia bilaterale,87.37.01,933,236,108,91,104,47,23,23
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,16,Mammografia monolaterale,87.37.02,30,6,5,5,1,1,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,17,TC del Torace,87.41.00,358,126,56,42,52,43,18,18
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,18,TC del Torace senza e con MDC,87.41.01,519,238,136,121,62,55,37,37
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,19,TC dell’addome superiore,88.01.01,2,1,1,1,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,20,TC dell’addome superiore senza e con MDC,88.01.02,31,15,7,7,4,4,4,4
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,21,TC dell’addome inferiore,88.01.03,5,2,1,1,1,1,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,22,TC dell’addome inferiore senza e con MDC,88.01.04,26,10,5,4,3,3,2,2
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,23,TC dell’addome completo,88.01.05,86,35,18,12,9,9,7,7
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,24,TC dell’addome completo senza e con MDC,88.01.06,568,300,179,156,70,60,47,47
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,25,TC Cranio - encefalo,87.03.00,219,77,37,28,29,24,11,11
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,26,TC Cranio - encefalo senza e con MDC,87.03.01,166,79,41,36,23,18,14,14
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,27,TC del rachide e dello speco vertebrale cervicale,88.38.01,116,37,17,13,16,15,4,4
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,28,TC del rachide e dello speco vertebrale toracico,88.38.01,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,29,TC del rachide e dello speco vertebrale lombosacrale,88.38.01,,,,,,,,
